Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
19,So.,05.02.2023,16:30,Luzern,1–1,Young Boys,11.809,swissporarena,Sandro Schärer,Spielbericht,
20,Sa.,11.02.2023,18:00,Servette FC,2–1,Grasshopper,5.014,Stade de Genève,Lukas Fähndrich,Spielbericht,
20,Sa.,11.02.2023,20:30,Basel,3–1,Sion,19.522,St. Jakob-Park,Fedayi San,Spielbericht,
20,So.,12.02.2023,14:15,Lugano,1–1,Luzern,3.026,Stadio di Cornaredo,Anojen Kanagasingam,Spielbericht,
20,So.,12.02.2023,16:30,Young Boys,5–1,St. Gallen,27.164,Stadion Wankdorf,Urs Schnyder,Spielbericht,
20,So.,12.02.2023,16:30,Zürich,1–1,FC Winterthur,13.690,Stadion Letzigrund,Luca Cibelli,Spielbericht,
17,Mi.,15.02.2023,18:45,FC Winterthur,1–2,Servette FC,7.800,Stadion Schützenwiese,Stefan Horisberger,Spielbericht,
21,Sa.,18.02.2023,18:00,FC Winterthur,1–1,Sion,8.200,Stadion Schützenwiese,Sven Wolfensberger,Spielbericht,
21,Sa.,18.02.2023,20:30,Young Boys,1–1,Lugano,24.648,Stadion Wankdorf,Luca Cibelli,Spielbericht,
21,So.,19.02.2023,14:15,St. Gallen,2–2,Luzern,17.126,Kybunpark,Fedayi San,Spielbericht,
21,So.,19.02.2023,16:30,Basel,2–2,Servette FC,19.443,St. Jakob-Park,Sandro Schärer,Spielbericht,
21,So.,19.02.2023,16:30,Grasshopper,1–2,Zürich,16.185,Stadion Letzigrund,Urs Schnyder,Spielbericht,
22,Sa.,25.02.2023,18:00,Sion,0–4,St. Gallen,7.300,Stade de Tourbillon,Stefan Horisberger,Spielbericht,
22,Sa.,25.02.2023,20:30,Zürich,2–2,Young Boys,15.393,Stadion Letzigrund,Lukas Fähndrich,Spielbericht,
22,So.,26.02.2023,14:15,Luzern,1–0,Grasshopper,12.499,swissporarena,Johannes von Mandach,Spielbericht,
22,So.,26.02.2023,16:30,Lugano,2–2,Basel,3.205,Stadio di Cornaredo,Sven Wolfensberger,Spielbericht,
22,So.,26.02.2023,16:30,Servette FC,1–1,FC Winterthur,6.123,Stade de Genève,Esther Staubli,Spielbericht,
23,Sa.,04.03.2023,18:00,FC Winterthur,1–1,Young Boys,8.400,Stadion Schützenwiese,Luca Piccolo,Spielbericht,
23,Sa.,04.03.2023,20:30,Luzern,0–1,Basel,13.248,swissporarena,Luca Cibelli,Spielbericht,
23,So.,05.03.2023,14:15,St. Gallen,1–1,Grasshopper,18.484,Kybunpark,Lukas Fähndrich,Spielbericht,
23,So.,05.03.2023,16:30,Sion,1–1,Lugano,4.800,Stade de Tourbillon,Urs Schnyder,Spielbericht,
23,So.,05.03.2023,16:30,Zürich,1–1,Servette FC,13.780,Stadion Letzigrund,Stefan Horisberger,Spielbericht,
24,Sa.,11.03.2023,18:00,Young Boys,4–0,Sion,28.052,Stadion Wankdorf,Luca Cibelli,Spielbericht,
24,Sa.,11.03.2023,20:30,Lugano,2–0,Zürich,4.700,Stadio di Cornaredo,Esther Staubli,Spielbericht,
24,So.,12.03.2023,14:15,Servette FC,0–1,Luzern,6.803,Stade de Genève,Sandro Schärer,Spielbericht,
24,So.,12.03.2023,16:30,Grasshopper,2–1,FC Winterthur,7.343,Stadion Letzigrund,Sven Wolfensberger,Spielbericht,
24,So.,12.03.2023,16:30,Basel,1–1,St. Gallen,22.635,St. Jakob-Park,Fedayi San,Spielbericht,
25,Sa.,18.03.2023,18:00,Zürich,2–1,Luzern,15.330,Stadion Letzigrund,Urs Schnyder,Spielbericht,
25,Sa.,18.03.2023,20:30,Sion,1–2,Grasshopper,7.000,Stade de Tourbillon,Sven Wolfensberger,Spielbericht,
25,So.,19.03.2023,14:15,FC Winterthur,1–0,St. Gallen,8.400,Stadion Schützenwiese,Stefan Horisberger,Spielbericht,
25,So.,19.03.2023,16:30,Young Boys,3–0,Basel,31.500,Stadion Wankdorf,Lukas Fähndrich,Spielbericht,
25,So.,19.03.2023,16:30,Lugano,1–1,Servette FC,2.607,Stadio di Cornaredo,Mirel Turkes,Spielbericht,
26,Sa.,01.04.2023,18:00,Servette FC,2–1,Young Boys,9.189,Stade de Genève,Luca Cibelli,Spielbericht,
26,Sa.,01.04.2023,20:30,Basel,2–0,FC Winterthur,19.921,St. Jakob-Park,Luca Piccolo,Spielbericht,
26,So.,02.04.2023,14:15,Grasshopper,2–1,Lugano,4.502,Stadion Letzigrund,Stefan Horisberger,Spielbericht,
26,So.,02.04.2023,16:30,Luzern,1–2,Sion,13.367,swissporarena,Fedayi San,Spielbericht,
26,So.,02.04.2023,16:30,St. Gallen,2–2,Zürich,19.540,Kybunpark,Sven Wolfensberger,Spielbericht,
27,Sa.,08.04.2023,18:00,Zürich,1–1,Basel,19.451,Stadion Letzigrund,Lukas Fähndrich,Spielbericht,
27,Sa.,08.04.2023,20:30,Sion,2–2,Servette FC,11.850,Stade de Tourbillon,Sven Wolfensberger,Spielbericht,
27,Mo.,10.04.2023,14:15,Lugano,1–1,St. Gallen,,Stadio di Cornaredo,Stefan Horisberger,Spielbericht,
27,Mo.,10.04.2023,16:30,FC Winterthur,1–2,Luzern,8.400,Stadion Schützenwiese,Johannes von Mandach,Spielbericht,
27,Mo.,10.04.2023,16:30,Young Boys,2–0,Grasshopper,31.500,Stadion Wankdorf,Luca Piccolo,Spielbericht,
28,Sa.,15.04.2023,18:00,Servette FC,0–0,Lugano,4.141,Stade de Genève,Urs Schnyder,Spielbericht,
28,Sa.,15.04.2023,20:30,Luzern,4–1,Zürich,14.217,swissporarena,Luca Cibelli,Spielbericht,
28,So.,16.04.2023,14:15,St. Gallen,2–3,FC Winterthur,18.376,Kybunpark,Esther Staubli,Spielbericht,
28,So.,16.04.2023,16:30,Grasshopper,1–3,Sion,4.602,Stadion Letzigrund,Anojen Kanagasingam,Spielbericht,
28,So.,16.04.2023,16:30,Basel,1–1,Young Boys,14.142,St. Jakob-Park,Fedayi San,Spielbericht,
29,Sa.,22.04.2023,18:00,FC Winterthur,1–2,Grasshopper,8.400,Stadion Schützenwiese,Fedayi San,Spielbericht,
29,Sa.,22.04.2023,20:30,Young Boys,6–1,Servette FC,27.883,Stadion Wankdorf,Sandro Schärer,Spielbericht,
29,So.,23.04.2023,14:15,Basel,0–2,Luzern,22.966,St. Jakob-Park,Sven Wolfensberger,Spielbericht,
29,So.,23.04.2023,16:30,Zürich,1–0,St. Gallen,16.585,Stadion Letzigrund,Urs Schnyder,Spielbericht,
29,So.,23.04.2023,16:30,Lugano,2–0,Sion,3.005,Stadio di Cornaredo,Esther Staubli,Spielbericht,
30,Di.,25.04.2023,20:30,Grasshopper,4–1,Young Boys,8.704,Stadion Letzigrund,Mirel Turkes,Spielbericht,
30,Mi.,26.04.2023,20:30,St. Gallen,1–2,Lugano,12.226,Kybunpark,Luca Cibelli,Spielbericht,
30,Mi.,26.04.2023,20:30,Servette FC,4–0,Zürich,4.818,Stade de Genève,Alessandro Dudic,Spielbericht,
